马匹名称,出生地 / 馬齡,毛色 / 性別,進口類別,今季獎金*,總獎金*,冠-亞-季-總出賽次數*,最近十個賽馬日出賽場數,現在位置(到達日期),進口日期,練馬師,馬主,現時評分,季初評分,父系,母系,外祖父,同父系馬,自購馬來港前賽事片段
宜春火力,愛爾蘭 / 5,棗 / 閹,自購馬,$0,"$4,268,125",3-1-0-16,0,從化(19/04/2024),16/10/2021,韋達,電光之友團體,75,75,Fascinating Rock,Ajaadat,Shamardal,夢照發,
撼天鐵翼,愛爾蘭 / 5,灰 / 閹,自購馬,"$213,900","$3,103,050",1-3-4-17,0,從化(25/10/2024),08/10/2022,韋達,Mary Slack,75,75,Dark Angel,Futoon,Kodiac,豐盛多彩安泰美麗多盈,
年少多好,澳洲 / 5,棗 / 閹,自購馬,$0,"$3,369,300",1-1-1-9,1,從化(30/10/2024),14/08/2023,廖康銘,卓傲團體,75,75,Shamus Award,Rocket Baby,Danzero,美麗在線天天同樂有目共賞志醒大將開心人馬K277K278後無來者自力更生紫荊拼搏,
駿擊快車,澳洲 / 4,棗／棕 / 閹,自購馬,$0,$0,0-0-0-0,0,香港(19/10/2024),19/08/2024,姚本輝,陳振彬,75,75,Playing God,Vampi Lass,Bletchley Park,千杯,
好好心得,澳洲 / 8,棗 / 閹,自購馬,"$103,400","$6,387,750",3-5-2-36,1,香港(09/11/2024),04/05/2020,游達榮,多多心得團體,74,77,War Chant,Apache Point,High Chaparral,沒有,
巴薩諾瓦,愛爾蘭 / 5,栗 / 閹,自購馬,"$279,000","$4,812,200",2-1-4-29,1,從化(30/10/2024),02/10/2021,巫偉傑,蕭劍新,74,73,Cotai Glory,Atlas Silk,Dansili,電路十號雙天寳馬,
會長之寶,英國 / 3,棗 / 閹,自購馬,$0,$0,0-0-0-2,0,從化(27/09/2024),23/12/2023,韋達,香港聖約翰會長會團體,74,74,Ten Sovereigns,Ballyalla,Mind Games,綫路盈樂發財鴻星K088K304綠野飛馳嘉冠王,
笑傲江湖,澳洲 / 4,棗 / 雄,自購馬,$0,$0,0-0-0-0,0,香港(16/09/2024),16/09/2024,呂健威,笑傲江湖賽馬團體,74,74,I Am Invincible,Pierro Moss,Pierro,美麗喜悅知道長勝K266英勇快車但求開心智跑得錶之多多胡椒軍曹雷神太保,
嘉應獎昇,紐西蘭 / 4,棗 / 閹,自購新馬,$0,"$3,374,700",4-0-1-9,0,從化(12/07/2024),19/12/2022,賀賢,嘉應團體,74,74,Charm Spirit,Rockadubai,Fastnet Rock,佳運發錢程萬里飛騰騅不可擋東方寶寶天天耍樂飛雲上市魅力福國寶歡樂飛駒K141愛馬善魯班精神勇冠群英盛勢威楓銀刺勇士智勝攻略不假外求三生福佑友運行,
家樂龍駒,澳洲 / 5,栗 / 閹,自購馬,"$1,041,600","$4,741,050",2-2-1-11,1,從化(18/10/2024),08/05/2023,賀賢,黃應湘,74,68,Safeguard,Dabang,He's A Decoy,K231激光諜影,
開心勇駒,日本 / 5,棗 / 閹,自購馬,$0,"$2,909,900",2-3-0-12,0,香港(09/11/2024),09/06/2023,告東尼,快樂熊團體,74,74,Lord Kanaloa,Sacred Sight,Fastnet Rock,駿步騰飛,
盈妍威楓,愛爾蘭 / 3,棗 / 閹,自購馬,"$2,867,100","$3,146,100",1-0-2-6,2,香港(23/05/2024),23/12/2023,伍鵬志,楊挺楓,74,69,Starspangledbanner,Rely On Me,Kyllachy,顯力之城永遠美麗美麗第一金鑽精靈神馳加州星皓加州星球加州星馳綫路英雄衝上雲霄飛鷹翱翔喜蓮勇略紅衫魚K267K280K301歡喜福星大輝煌知恩圖報南莊堡雪勇神駒紅海風帆囍眼光一定掂閃耀威龍紫荊歡呼都靈星球三代同心手到齊來,
星際快車,法國 / 4,棗 / 閹,自購馬,"$427,800","$1,860,000",0-3-2-9,0,香港(14/10/2023),14/10/2023,蔡約翰,榮智健,74,73,Zoustar,Darinja,Shamardal,展雄威奔妙星加州動員寰宇豐采利不可擋潮州精神會當凌功名顯赫開心馬健康愉快K250K258K308天下寵兒美神來非凡之星手機錶霸精彩駿將精算激流攻頂連連有盈幸運龍鑽石寶寶競駿輝煌,
競駿皇者,愛爾蘭 / 3,棗 / 閹,自購馬,"$2,541,600","$2,541,600",1-0-0-1,1,香港(06/07/2024),06/07/2024,游達榮,競駿會有限公司,74,68,Holy Roman Emperor,Emirate Jewel,Pivotal,馬特峰顏色大皇好勁力精明勇駿旅遊高球讓愛高飛,
同樣美麗,愛爾蘭 / 4,棗 / 閹,自購馬,"$213,900","$3,904,600",0-5-4-21,2,香港(25/04/2024),11/02/2023,告東尼,美麗一族團體,73,75,Acclamation,Up In Time,Noverre,K079閃電富貴駒浪漫勇士星運皇爵,
加州德至,澳洲 / 5,棗 / 閹,自購馬,"$65,100","$4,382,550",2-2-1-13,0,香港(31/07/2023),31/07/2023,巫偉傑,梁舜茗,73,73,Deep Field,Touch Of Greatness,Don Eduardo,旺旺昇叻魅影獵飛好瑪威威熾烈神駒驍勇者加州得力加州代表龍之光川河帥駒南區旺電路豪傑電路七號勇者無敵花好月盈瑤瑤日上勇威神駒鑽飾翱翔快樂老撾吉祥寶對衡之星安都隼閣川河型駒威武良駒金玉良言華麗活力逍遙人生千杯敬典火神神樂嫡愛心超級龍珠春風萬里K216K236K263K271K292八駿高昇一石二鳥盛載富祿幸運旅程智智多寶加飯綠族無限貓山王魅力一心包裝伯樂勝萬金綠水青山機械騎士時間寶自強不息深心星揚威四方海綿寶寶川河動駒星光快驅糖不甩飛躍精英真好運旺旺神駒添喜運中華盛景赤壁銳高爆笑遨遊氣泡紅錢到怡昌奇兵優悠俠,
光年八十,澳洲 / 6,棗 / 閹,自購馬,$0,"$3,236,025",2-3-2-15,0,香港(19/05/2023),11/10/2022,容天鵬,趙國明與肖冰,73,75,Dream Ahead,Blue Ocean,Fastnet Rock,沒有,
安康萬里,澳洲 / 4,棗 / 閹,自購新馬,"$37,200","$2,775,300",3-1-0-8,1,香港(25/01/2024),21/09/2023,呂健威,嚴美鳳與嚴文熙,73,73,Exceed And Excel,Epitomise,More Than Ready,艾莉奧妙玲瓏大將鵰神超旺財得道猴王K237皇帝英明神行百變籐王駒同喜博學多財發光發亮手機錶勝,
自力更生,澳洲 / 7,棕 / 閹,自購馬,"$65,100","$6,423,075",4-2-1-30,1,香港(23/01/2024),27/09/2021,鄭俊偉,陳志光,73,75,Shamus Award,Tear Gas,High Chaparral,美麗在線天天同樂有目共賞志醒大將開心人馬K277K278後無來者紫荊拼搏年少多好,
建測羣英,紐西蘭 / 6,棗 / 閹,自購馬,"$471,500","$4,157,200",4-1-2-24,1,從化(01/11/2024),26/07/2022,大衛希斯,龍田團體,73,72,Mongolian Khan,Shimmy,Zabeel,大登殿,
陽明天空,澳洲 / 6,棗 / 閹,自購新馬,"$71,750","$4,840,625",3-3-4-21,1,香港(01/06/2024),22/02/2022,呂健威,黃僑福,73,75,Shalaa,Aurora's Star,Medaglia d'Oro,皇寶駒暴風一族天足貓K276萬事靚會展二號實力哥陽光寶貝狀元及第,
風再起時,澳洲 / 4,棗 / 雄,自購馬,"$37,200","$37,200",0-0-0-1,1,香港(24/06/2024),24/06/2024,容天鵬,戴煥成與戴銘堃,72,72,Justify,Fine Scent,All Too Hard,天火同德龍之珍凡凡有餘正將快靚旺假面騎士十力千里如飛銳義新意馬和平波浪漫戰神難以置信,
手到再來,英國 / 5,棗 / 閹,自購馬,"$194,750","$3,987,250",2-1-3-20,2,從化(01/11/2024),15/05/2023,伍鵬志,巨款團體,72,77,Frankel,Janey Muddles,Lawman,紅愛舍傳承者,
大浪圖田,紐西蘭 / 5,棗 / 閹,自購馬,"$148,800","$3,118,200",1-0-2-8,2,香港(19/10/2023),19/10/2023,丁冠豪,劉富榮,72,73,Vadamos,Stanica,Zabeel,神舟彎月,
浪漫老撾,紐西蘭 / 6,棗 / 閹,國際拍賣會新馬,"$71,750","$6,317,050",4-5-2-27,1,香港(05/09/2024),10/07/2022,巫偉傑,鄭強輝,72,75,Pins,Zaburn,Zabeel,天天得樂自然力量,
時尚風趣,紐西蘭 / 4,棕 / 閹,自購新馬,"$1,116,000","$3,207,600",3-1-1-9,1,香港(16/04/2024),21/09/2023,容天鵬,黃振南、黃林美莉、黃詩頴與黃智博,72,66,What's The Story,Citycenta,Elusive City,沒有,
魅力知遇,紐西蘭 / 6,棗 / 閹,自購新馬,$0,"$7,575,450",5-5-2-29,2,從化(11/11/2024),05/05/2022,蔡約翰,鄧詠琪,72,80,Toronado,Haumea,Encosta de Lago,雄彬飛翔美麗邂逅無限美麗福祐神州勁者友得盈欣感驕陽明駒自己話事利衍天下K224K246超力量駿皇勝鐵金剛魅力星魅力心馬主雄風包裝猛將包裝明駒紅逸舍耀寶多巴先生朗日雪峰維港智能,
都靈星球,英國 / 3,栗 / 閹,自購馬,"$2,771,000","$2,836,100",1-0-0-7,2,香港(04/11/2023),04/11/2023,伍鵬志,蔡克任、黃健華、謝曉東博士與吳楚婉,72,66,Starspangledbanner,Federation,Motivator,顯力之城永遠美麗美麗第一金鑽精靈神馳加州星皓加州星球加州星馳綫路英雄衝上雲霄飛鷹翱翔喜蓮勇略紅衫魚K267K280K301歡喜福星大輝煌知恩圖報南莊堡雪勇神駒盈妍威楓紅海風帆囍眼光一定掂閃耀威龍紫荊歡呼三代同心手到齊來,
金勝名駒,澳洲 / 4,棗 / 閹,自購新馬,"$1,041,600","$2,621,100",3-0-2-9,1,香港(26/06/2023),26/06/2023,蘇偉賢,勝利朋友團體,72,65,Brazen Beau,Shimada,Smart Missile,實在美麗中環精英郎善好施天火同人K269嘉應威風,
爭金奪冠,澳洲 / 5,棗 / 閹,自購馬,"$902,000","$4,344,350",1-1-5-11,2,香港(18/09/2023),18/09/2023,巫偉傑,勝團體,71,68,Sooboog,Light Missile,Smart Missile,迎樂北地烈馬大千絕塵傑出漢子,
開心寶寶,澳洲 / 4,棕 / 閹,自購新馬,"$427,800","$2,263,350",2-1-3-6,1,香港(13/06/2024),18/09/2023,呂健威,陳俊文,71,69,Brave Smash,Been Scene,Bianconi,鼓浪好友非凡達,
明亮天下,澳洲 / 5,栗 / 閹,自購馬,"$625,250","$4,068,850",1-2-2-10,2,香港(14/08/2024),09/10/2023,羅富全,丁毓珠、陳文彬、嚴明與孔慶暘,71,71,Rock Sturdy,Dubai Diamond,Artie Schiller,沒有,
精彩動力,澳洲 / 6,棕 / 閹,自購馬,"$164,000","$2,823,250",1-1-3-20,1,香港(09/11/2024),23/08/2022,方嘉柏,吳耀國與吳陳彩雲,71,72,Deep Impact,Amanee,Pivotal,沒有,
久久為尊,澳洲 / 5,棗 / 閹,自購馬,"$609,875","$3,551,125",0-1-4-14,2,從化(13/11/2024),31/07/2023,大衛希斯,何駿杰,71,71,Heroic Valour,Marma Got Style,Wicked Style,準輝煌耀寶駒,
精英雄心,澳洲 / 4,灰 / 閹,自購馬,"$285,650","$3,329,300",1-1-1-8,1,香港(18/09/2023),18/09/2023,廖康銘,精英互聯團體,71,70,Into Mischief,Spirit Of Ecstasy,Congrats,沒有,
愛心神駒,阿根廷 / 5,棗 / 閹,自購馬,"$1,148,000","$1,189,000",1-0-0-10,1,從化(23/10/2024),26/03/2023,廖康銘,余國賢,70,63,Cityscape,O K Angie,Orpen,當年情,
燭光晚餐,澳洲 / 4,棗 / 閹,自購馬,$0,$0,0-0-0-1,1,香港(06/05/2024),06/05/2024,徐雨石,鄭則然先生及夫人,70,70,Russian Revolution,I Am Gypsy,I Am Invincible,東方福寶決一劍輝煌精英勝在有型幸運傳承競駿奔騰,
十八掌門,愛爾蘭 / 4,棗 / 閹,自購馬,"$430,500","$3,693,500",1-2-0-10,1,香港(10/09/2024),26/08/2023,沈集成,易國偉,70,69,Gleneagles,Kikonga,Danehill Dancer,躡景追飛錶之量子,
風火猴王,澳洲 / 3,栗 / 閹,自購馬,$0,$0,0-0-0-0,0,香港(03/06/2024),03/06/2024,告東尼,張宇成,70,70,Capitalist,Menagerie,Zoustar,喆喆友福志滿同行比特星牛精豪情加州本事喜至寶川河首駒志在福星烈火駿馬神舟喜月增強日馳千里快樂寶寶快活英雄K235同得寶奔月騰雲祥發孝寬極光彗星花果猴王同滿滿亮寶四季醒富心星風雲太陽高高洛河太陽昇金牌活力辣得凌厲威德勇士陽光勇士八駿巨昇猛將兄大數據,
包裝伯樂,澳洲 / 5,棗 / 閹,自購新馬,"$130,200","$2,178,000",2-1-0-8,1,從化(25/10/2024),07/11/2022,沈集成,李浩中,70,71,Deep Field,Courageous Kitty,Fastnet Rock,旺旺昇叻魅影獵飛好瑪威威熾烈神駒驍勇者加州得力加州代表加州德至龍之光川河帥駒南區旺電路豪傑電路七號勇者無敵花好月盈瑤瑤日上勇威神駒鑽飾翱翔快樂老撾吉祥寶對衡之星安都隼閣川河型駒威武良駒金玉良言華麗活力逍遙人生千杯敬典火神神樂嫡愛心超級龍珠春風萬里K216K236K263K271K292八駿高昇一石二鳥盛載富祿幸運旅程智智多寶加飯綠族無限貓山王魅力一心勝萬金綠水青山機械騎士時間寶自強不息深心星揚威四方海綿寶寶川河動駒星光快驅糖不甩飛躍精英真好運旺旺神駒添喜運中華盛景赤壁銳高爆笑遨遊氣泡紅錢到怡昌奇兵優悠俠,
瑞祺威楓,英國 / 3,棕 / 閹,自購馬,$0,$0,0-0-0-1,1,香港(31/10/2024),06/07/2024,姚本輝,23/24 姚本輝練馬師賽馬團體,70,70,Calyx,Dazzling Rose,Raven's Pass,裕達寶駒太勝駒,
精算謀略,澳洲 / 5,棕 / 閹,自購新馬,$0,"$4,875,550",3-5-3-20,2,香港(07/11/2022),07/11/2022,蔡約翰,龐維寧先生及夫人,70,72,Sebring,Lovani,Lonhro,美麗同享桃花多極速奇兵巴閉仔,
遙遙領先,澳洲 / 4,棗 / 閹,自購新馬,"$1,041,600","$2,322,750",2-2-1-5,1,香港(20/04/2024),19/12/2023,呂健威,楊聖敦、楊華翰與楊華琦,70,64,Written By,Avocado,Snitzel,K283超強六十領航財子,
以戰常勝,澳洲 / 4,灰 / 閹,自購新馬,$0,"$1,701,000",2-1-0-3,0,香港(19/12/2023),19/12/2023,蔡約翰,鄭少光,70,70,Caravaggio,Maewyn,Dream Ahead,電路九號百勝威龍銀騰都靈福星,
競駿先鋒,澳洲 / 4,棗 / 閹,自購馬,"$65,100","$2,606,700",1-0-0-5,0,香港(16/07/2024),01/03/2024,告東尼,競駿會有限公司,70,72,Press Statement,Rich Pickings,I Am Invincible,華麗再勝一生好彩金鑽八十萬事得意金多令威威父子著迷,
有財有勢,紐西蘭 / 6,棗 / 閹,自購新馬,$0,"$4,870,650",4-1-5-27,0,從化(10/07/2024),05/07/2022,蔡約翰,陳怡納,69,69,Per Incanto,Island Time,Al Akbar,友瑩仁水晶酒杯天火同心獎星綫路光驊顏色王子完美演繹龍騰飛翔金運來仁仁之寶添開心我為您K219K297幸運芙蓉仁仁有餘心雄雄問鼎巔峰精算暴雪彩虹七色世界籐王威武寶寶陸知質數聯歡兒大浪園田木火同明,
意力迪迪,澳洲 / 5,棗 / 閹,自購馬,$0,"$65,100",0-0-0-8,0,從化(20/09/2024),31/07/2023,呂健威,羅琪茵,69,69,Dundeel,Marquise Da Rossa,Testa Rossa,相映紅威力勇驥三強妙算奇勝銀亮奔騰龍城強將,
舉步生風,紐西蘭 / 4,棗 / 閹,自購新馬,"$869,100","$1,524,300",2-0-1-3,0,從化(09/10/2024),25/01/2024,葉楚航,吳鴻有,69,60,Wrote,Alberta,Magic Albert,超超比金快飛飛威力非凡東來欣賞南區之星揚威四海追風風火恆雲龍文鞭影,
得道猴王,澳洲 / 4,栗 / 閹,自購馬,"$502,200","$539,400",0-1-0-4,2,香港(08/01/2024),08/01/2024,告東尼,張漢傑,69,67,Exceed And Excel,Kaniana,Canny Lad,艾莉奧妙玲瓏大將鵰神超旺財K237皇帝英明安康萬里神行百變籐王駒同喜博學多財發光發亮手機錶勝,
關鍵所在,英國 / 3,棗 / 閹,自購馬,$0,$0,0-0-0-0,0,從化(18/10/2024),07/09/2024,沈集成,黃永耀,69,69,Advertise,Squash,Pastoral Pursuits,光年程祥,
綠色好威,澳洲 / 4,棗 / 閹,自購馬,"$65,100","$2,606,700",1-0-0-4,0,香港(18/07/2024),19/12/2023,伍鵬志,李榮翰先生及夫人,69,69,Shooting To Win,Bella Deluxe,Delago Deluxe,喜報圍家超加加大千眼界騰龍四海風起雲湧健康心靈風繼續吹健康快車心福有鴻利金榜之星耀昌勝世,
多利彩駒,紐西蘭 / 5,栗 / 閹,自購馬,"$390,600","$3,322,800",1-2-0-11,1,香港(09/11/2024),18/09/2023,廖康銘,多利團體,69,69,Super Easy,Pussycat Holiday,Private Call,沒有,
自強不息,澳洲 / 5,棗 / 閹,自購馬,"$111,600","$4,983,375",2-3-2-19,1,香港(09/11/2024),20/02/2023,文家良,王宗彥與黃麗娥,69,70,Deep Field,Jerry's Witness,Star Witness,旺旺昇叻魅影獵飛好瑪威威熾烈神駒驍勇者加州得力加州代表加州德至龍之光川河帥駒南區旺電路豪傑電路七號勇者無敵花好月盈瑤瑤日上勇威神駒鑽飾翱翔快樂老撾吉祥寶對衡之星安都隼閣川河型駒威武良駒金玉良言華麗活力逍遙人生千杯敬典火神神樂嫡愛心超級龍珠春風萬里K216K236K263K271K292八駿高昇一石二鳥盛載富祿幸運旅程智智多寶加飯綠族無限貓山王魅力一心包裝伯樂勝萬金綠水青山機械騎士時間寶深心星揚威四方海綿寶寶川河動駒星光快驅糖不甩飛躍精英真好運旺旺神駒添喜運中華盛景赤壁銳高爆笑遨遊氣泡紅錢到怡昌奇兵優悠俠,
風雲武士,澳洲 / 4,栗 / 閹,自購新馬,"$251,100","$2,305,200",2-1-1-9,2,從化(13/11/2024),17/07/2023,大衛希斯,田啟文,69,69,Dracarys,Zeffiretta,Husson,沒有,
星運遨翔,愛爾蘭 / 4,棗 / 閹,自購馬,"$65,100","$65,100",0-0-0-1,1,香港(10/10/2024),09/09/2023,方嘉柏,方文俊,69,69,National Defense,Thanks,Kheleyf,豐盛,
爆出美麗,英國 / 3,棗 / 閹,自購馬,$0,$0,0-0-0-0,0,從化(23/10/2024),07/09/2024,伍鵬志,爆美麗團體,68,68,Iffraaj,Believable,Acclamation,鄭大哥威武年代我做到皮具大師金發銀發樂天派,
福祐神州,法國 / 4,栗 / 閹,自購馬,$0,$0,0-0-0-1,1,香港(31/10/2024),23/12/2023,韋達,黃英豪、黃宇恆、黃宇德與黃宇毅,68,68,Toronado,Mlayhah,Le Havre,雄彬飛翔美麗邂逅無限美麗勁者友得盈欣感驕陽明駒自己話事利衍天下K224K246超力量駿皇勝鐵金剛魅力星魅力心馬主雄風包裝猛將包裝明駒紅逸舍耀寶多巴先生魅力知遇朗日雪峰維港智能,
有目共賞,澳洲 / 4,棕 / 閹,自購馬,$0,$0,0-0-0-0,0,香港(05/11/2024),08/07/2024,蔡約翰,盧楚鏘先生及夫人,68,68,Shamus Award,Ecosse,West Quest,美麗在線天天同樂志醒大將開心人馬K277K278後無來者自力更生紫荊拼搏年少多好,
大千眼界,紐西蘭 / 6,棗 / 閹,自購新馬,"$1,148,000","$2,611,850",3-0-0-8,1,從化(01/11/2024),05/05/2022,方嘉柏,梁仕天,68,62,Shooting To Win,Comic Miss,Pins,喜報圍家超加加騰龍四海風起雲湧健康心靈風繼續吹健康快車心福有鴻利綠色好威金榜之星耀昌勝世,
魯班精神,紐西蘭 / 4,棗 / 閹,自購新馬,"$362,700","$1,844,850",2-0-2-7,1,香港(09/11/2023),09/11/2023,丁冠豪,友盈利團體,68,68,Charm Spirit,Potions,Encosta de Lago,佳運發錢程萬里飛騰騅不可擋東方寶寶天天耍樂飛雲上市魅力福國寶歡樂飛駒K141嘉應獎昇愛馬善勇冠群英盛勢威楓銀刺勇士智勝攻略不假外求三生福佑友運行,
營造組裝,澳洲 / 5,棗 / 閹,自購新馬,$0,"$3,219,525",2-2-6-11,0,從化(15/09/2024),23/08/2022,呂健威,林健榮先生及夫人、林治平與林治勉,68,68,Overshare,Spring Burst,Exceed And Excel,好節拍好多心得,
翠兒威威,愛爾蘭 / 3,棗 / 閹,自購馬,$0,$0,0-0-0-0,0,從化(06/10/2024),04/08/2024,容天鵬,陳橋森,68,68,Cappella Sansevero,Passified Lady,Speightstown,沒有,
駿步騰飛,澳洲 / 5,棗 / 閹,自購馬,"$1,045,800","$1,296,900",1-1-1-7,1,香港(18/06/2024),08/05/2023,游達榮,同心同行團體,68,59,Lord Kanaloa,Believe Yourself,Sebring,開心勇駒,
雅典武士,澳洲 / 6,棕 / 閹,自購新馬,"$455,700","$2,691,375",1-5-1-13,1,香港(21/09/2024),07/06/2022,大衛希斯,田北俊先生及夫人,67,66,Scissor Kick,Phaedra,Hussonet,旺旺快駒小神仙,
志滿同行,澳洲 / 4,栗 / 閹,自購馬,$0,$0,0-0-0-0,0,香港(31/10/2024),22/07/2024,大衛希斯,行運六陸團體,67,67,Capitalist,Madame Cactus,Cactus Ridge,喆喆友福比特星牛精豪情加州本事喜至寶川河首駒志在福星烈火駿馬神舟喜月增強日馳千里快樂寶寶風火猴王快活英雄K235同得寶奔月騰雲祥發孝寬極光彗星花果猴王同滿滿亮寶四季醒富心星風雲太陽高高洛河太陽昇金牌活力辣得凌厲威德勇士陽光勇士八駿巨昇猛將兄大數據,
無限勝利,澳洲 / 4,棗 / 閹,自購馬,$0,$0,0-0-0-0,0,從化(02/09/2024),22/07/2024,方嘉柏,謝昭平、鄭中明、楊毅敏醫生與林一鳴,67,67,Nicconi,Madeleina,Zabeel,鄉村樂韻凱旋幸運新力高升巴閉哥,
川河帥駒,澳洲 / 4,棕 / 閹,自購馬,$0,$0,0-0-0-0,0,從化(30/10/2024),19/08/2024,沈集成,何家駒先生及夫人,67,67,Deep Field,Spellbinder,O'Reilly,旺旺昇叻魅影獵飛好瑪威威熾烈神駒驍勇者加州得力加州代表加州德至龍之光南區旺電路豪傑電路七號勇者無敵花好月盈瑤瑤日上勇威神駒鑽飾翱翔快樂老撾吉祥寶對衡之星安都隼閣川河型駒威武良駒金玉良言華麗活力逍遙人生千杯敬典火神神樂嫡愛心超級龍珠春風萬里K216K236K263K271K292八駿高昇一石二鳥盛載富祿幸運旅程智智多寶加飯綠族無限貓山王魅力一心包裝伯樂勝萬金綠水青山機械騎士時間寶自強不息深心星揚威四方海綿寶寶川河動駒星光快驅糖不甩飛躍精英真好運旺旺神駒添喜運中華盛景赤壁銳高爆笑遨遊氣泡紅錢到怡昌奇兵優悠俠,
燊榮之星,愛爾蘭 / 6,棗 / 閹,自購馬,"$41,000","$5,651,750",3-2-4-25,0,從化(13/09/2024),24/07/2021,沈集成,黃永龍,67,67,War Command,Malayan Mist,Dansili,沒有,
時時精準,紐西蘭 / 4,棗 / 閹,自購馬,$0,$0,0-0-0-1,1,香港(11/07/2024),11/07/2024,游達榮,王經緯,67,67,War Decree,Fascinate Me,Rip Van Winkle,穿甲戰鷹始終如一球皇堅闖綠族光芒荷花之星綠族晴朗,
大千超影,紐西蘭 / 4,棗 / 閹,自購馬,$0,$0,0-0-0-0,0,從化(29/09/2024),19/08/2024,方嘉柏,凌靄賢,67,67,Almanzor,Pendleton,Rip Van Winkle,摩界博愛先鋒光輝歲月K210K285非凡龍駒巧眼光豐辰,
連連幸運,英國 / 3,棗 / 閹,自購馬,"$604,500","$604,500",0-1-1-3,1,從化(30/10/2024),06/07/2024,沈集成,光明正大賽馬團體,67,64,Oasis Dream,Clematis,First Defence,K255K259竣誠駒奪金精靈,
沙井之友,英國 / 2,棗 / 雄,自購馬,$0,$0,0-0-0-0,0,香港(05/10/2024),05/10/2024,沈集成,沙井之友團體,67,67,Sergei Prokofiev,True Potential,Kodiac,沒有,
歡樂至寶,紐西蘭 / 5,棗 / 閹,自購新馬,$0,"$2,923,800",3-0-2-11,0,從化(04/09/2024),11/10/2022,呂健威,周祈銳先生及夫人,67,67,Darci Brahma,Giant Hunter,Lope de Vega,宇宙動力健康之星得勝多富存寶馬獵狐者勁金駿星H349科創世紀鋼鐵戰士金滙千帥勁速威龍極速滿貫,
中華英雄,澳洲 / 5,棗 / 閹,自購新馬,$0,"$4,116,300",4-1-2-20,0,從化(09/09/2024),23/03/2022,大衛希斯,馬聖之友團體,67,67,Maurice,Frontalis,Redoute's Choice,星之願高份數綠色巨人紅衣醒目北海盜平海之星,
運高八斗,澳洲 / 6,棗 / 閹,自購新馬,"$766,800","$5,345,125",4-2-3-27,1,香港(20/09/2021),20/09/2021,姚本輝,八一團體,67,59,Pride Of Dubai,Hussy Five Oh,Husson,輕功猛男皇仁福星金鎗武士連連歡呼至尊高超七彩雲珠太行美景凡喜陽明閃耀觀萬物,
假面騎士,澳洲 / 4,棗 / 閹,自購馬,$0,$0,0-0-0-0,0,香港(16/09/2024),16/09/2024,蘇偉賢,無敵軍團團體,67,67,Justify,Extra Olives,Redoute's Choice,風再起時天火同德龍之珍凡凡有餘正將快靚旺十力千里如飛銳義新意馬和平波浪漫戰神難以置信,
智智多寶,澳洲 / 4,棗 / 閹,自購新馬,"$1,380,600","$1,831,050",2-1-1-7,1,從化(23/10/2024),17/07/2023,大衛希斯,林孝文醫生,67,53,Deep Field,Khalama,Starspangledbanner,旺旺昇叻魅影獵飛好瑪威威熾烈神駒驍勇者加州得力加州代表加州德至龍之光川河帥駒南區旺電路豪傑電路七號勇者無敵花好月盈瑤瑤日上勇威神駒鑽飾翱翔快樂老撾吉祥寶對衡之星安都隼閣川河型駒威武良駒金玉良言華麗活力逍遙人生千杯敬典火神神樂嫡愛心超級龍珠春風萬里K216K236K263K271K292八駿高昇一石二鳥盛載富祿幸運旅程加飯綠族無限貓山王魅力一心包裝伯樂勝萬金綠水青山機械騎士時間寶自強不息深心星揚威四方海綿寶寶川河動駒星光快驅糖不甩飛躍精英真好運旺旺神駒添喜運中華盛景赤壁銳高爆笑遨遊氣泡紅錢到怡昌奇兵優悠俠,
龍城精將,愛爾蘭 / 3,棗 / 閹,自購馬,$0,$0,0-0-0-0,0,香港(05/10/2024),05/10/2024,韋達,布魯士先生及夫人,67,67,Siyouni,Shamreen,Dubawi,縱橫大進玩笑,
電源之駒,英國 / 6,棗 / 閹,自購馬,$0,"$6,093,675",4-3-4-38,2,從化(11/11/2024),19/12/2020,文家良,吳家萌先生及夫人,67,71,Equiano,Terse,Dansili,沒有,
志敏將星,愛爾蘭 / 4,棗 / 閹,自購馬,$0,$0,0-0-0-0,0,從化(06/10/2024),14/10/2023,游達榮,李敏兒與何志豪,67,67,Expert Eye,Brynica,Desert Style,沒有,
利不可擋,英國 / 3,栗 / 閹,自購馬,$0,$0,0-0-0-0,0,從化(05/07/2024),23/03/2024,韋達,駿馬團體,66,66,Zoustar,Ship Of Dreams,Lope de Vega,展雄威奔妙星加州動員寰宇豐采潮州精神會當凌功名顯赫開心馬健康愉快K250K258K308天下寵兒美神來非凡之星手機錶霸精彩駿將精算激流星際快車攻頂連連有盈幸運龍鑽石寶寶競駿輝煌,
